world_model,endpoint,n_independent_replications,n_orders,mean_contrast,simulation_interval_low,simulation_interval_high,positive_replication_fraction,positive_order_fraction_after_replication_average,minimum_order_mean,maximum_order_mean
binary_bktf,latent_contrast_max_minus_two,20,20,-0.00016312499999999384,-0.0024072246647483283,0.0020809746647483403,0.45,0.45,-0.0007124999999999937,0.00028750000000001273
binary_bktf,observed_contrast_max_minus_two,20,20,-3.274999999999162e-05,-0.0008647826503089608,0.0007992826503089775,0.5,0.35,-0.00018749999999997935,0.00014249999999998986
continuous_latent_trait,latent_contrast_max_minus_two,20,20,-0.00017521922268922684,-0.0004606996977125705,0.00011026125233411685,0.5,0.0,-0.00017521922268922684,-0.00017521922268922684
continuous_latent_trait,observed_contrast_max_minus_two,20,20,2.4999999999941735e-06,-0.00029693250332658285,0.00030193250332657116,0.6,1.0,2.4999999999941735e-06,2.4999999999941735e-06
four_state_semimarkov,latent_contrast_max_minus_two,20,20,0.000696041666666668,-0.000667307218069538,0.0020593905514028742,0.6,1.0,0.0004083333333333494,0.0009999999999999898
four_state_semimarkov,observed_contrast_max_minus_two,20,20,9.462499999999875e-05,-0.00037811394681514437,0.0005673639468151419,0.5,0.8,-0.00010750000000004368,0.0002825000000000022
