world_model,policy,replicate,seed,order_id,n_learners,initial_latent,immediate_latent,delayed_latent,immediate_observed,immediate_expected,delayed_observed,delayed_expected,practice_accuracy,unique_skills,mean_selected_item_shift,belief_entropy_reduction,practice_end_day,delayed_test_day,n_low,delayed_latent_low,n_middle,delayed_latent_middle,n_high,delayed_latent_high,ref_delayed_latent,ref_delayed_observed,simulated_benefit_delayed_latent,simulated_benefit_delayed_observed
binary_bktf,balanced_mastery,0.0,20260801.0,2.0,250.0,0.5267999999999999,0.59972,0.57968,0.655616,0.6538708242223935,0.650312,0.6490166853424906,0.70208,18.872,0.7134612415444225,0.008802531428581669,19.01388888888889,49.01388888888889,77.0,0.4745454545454546,132.0,0.6008333333333333,41.0,0.7090243902439024,0.5614399999999999,0.647048,0.018239999999999968,0.0032640000000000225
binary_bktf,balanced_mastery,1.0,20360804.0,2.0,250.0,0.5294,0.59512,0.57588,0.6578320000000001,0.6527586879567796,0.655208,0.6481078050054375,0.7007599999999999,18.844,0.7120972337043502,0.00920069180279873,19.01388888888889,49.01388888888889,72.0,0.460138888888889,133.0,0.5940601503759398,45.0,0.7073333333333333,0.5636,0.651016,0.01227999999999998,0.004191999999999996
binary_bktf,balanced_mastery,2.0,20460807.0,2.0,250.0,0.5352,0.6049599999999999,0.58552,0.6588640000000001,0.6550168832997754,0.65012,0.6503127563284787,0.69896,18.712,0.712607579625138,0.009039512374349318,19.01388888888889,49.01388888888889,73.0,0.4784931506849315,124.0,0.5960483870967741,53.0,0.7083018867924529,0.5678,0.6466559999999999,0.017720000000000024,0.0034640000000000005
binary_bktf,balanced_mastery,3.0,20560810.0,2.0,250.0,0.5352,0.60268,0.58236,0.651488,0.6544188334772464,0.64672,0.6495183964937843,0.7044400000000001,19.02,0.7072731561974395,0.008848401806320643,19.01388888888889,49.01388888888889,70.0,0.4741428571428572,132.0,0.5925757575757575,48.0,0.7120833333333333,0.5666399999999999,0.642448,0.015720000000000022,0.0042719999999999425
binary_bktf,balanced_mastery,4.0,20660813.0,2.0,250.0,0.5396,0.60164,0.58328,0.660408,0.6545337666500735,0.6526080000000001,0.6500451898786842,0.69564,18.668,0.7213332981563083,0.009165573313399044,19.01388888888889,49.01388888888889,67.0,0.47865671641791047,136.0,0.5878676470588237,47.0,0.7191489361702128,0.56988,0.6483679999999999,0.01339999999999999,0.004240000000000044
binary_bktf,balanced_mastery,5.0,20760816.0,2.0,250.0,0.5267999999999999,0.59556,0.57668,0.652096,0.652919789576015,0.65112,0.648336103668866,0.69984,18.936,0.713046158576172,0.00865702657372228,19.01388888888889,49.01388888888889,74.0,0.46770270270270264,137.0,0.5953284671532847,39.0,0.7179487179487178,0.5626800000000001,0.64748,0.01399999999999999,0.0036399999999999766
binary_bktf,balanced_mastery,6.0,20860819.0,2.0,250.0,0.538,0.60308,0.5831999999999999,0.6548719999999999,0.6546127198084275,0.6463279999999999,0.649769977068535,0.6973199999999999,18.756,0.7218264796875548,0.008806930387608325,19.01388888888889,49.01388888888889,64.0,0.453125,134.0,0.5944029850746269,52.0,0.7144230769230768,0.5729200000000001,0.6444639999999999,0.010279999999999978,0.0018639999999999547
binary_bktf,balanced_mastery,7.0,20960822.0,2.0,250.0,0.5398,0.6022000000000001,0.5833200000000001,0.653552,0.6545186176142731,0.646896,0.6499514523479873,0.69948,18.836,0.7190095005938603,0.008933852809767055,19.01388888888889,49.01388888888889,70.0,0.46328571428571425,127.0,0.5944094488188976,53.0,0.7152830188679244,0.571,0.643376,0.012320000000000043,0.0035200000000000344
binary_bktf,balanced_mastery,8.0,21060825.0,2.0,250.0,0.546,0.6100000000000001,0.59088,0.6541920000000001,0.6564990584058397,0.653496,0.6519005678906181,0.7028799999999998,19.016,0.7071970609238063,0.0094196614796887,19.01388888888889,49.01388888888889,64.0,0.46484375,125.0,0.59824,61.0,0.7080327868852458,0.57632,0.6493840000000001,0.014559999999999972,0.0041120000000000045
binary_bktf,balanced_mastery,9.0,21160828.0,2.0,250.0,0.543,0.6033200000000001,0.5828800000000001,0.655816,0.6549333586772559,0.6514,0.6499760129904287,0.7042,18.956,0.7094606324431679,0.009519618243455133,19.01388888888889,49.01388888888889,64.0,0.47609375,134.0,0.5862686567164179,52.0,0.7055769230769231,0.5756,0.649432,0.00728000000000002,0.001968000000000014
