world_model,replicate,order_id,seed,max_mi_delayed_latent,two_corner_delayed_latent,latent_contrast_max_minus_two,max_mi_delayed_observed,two_corner_delayed_observed,observed_contrast_max_minus_two
binary_bktf,0,0,20333801,0.5792499999999999,0.5777500000000001,0.0014999999999998348,0.6518999999999999,0.6513499999999999,0.0005500000000000504
binary_bktf,0,1,20333801,0.5855,0.5815,0.0040000000000000036,0.65325,0.6525,0.0007500000000000284
binary_bktf,0,2,20333801,0.5855,0.5835,0.0020000000000000018,0.6534,0.6534,0.0
binary_bktf,0,3,20333801,0.5820000000000001,0.5805,0.0015000000000000568,0.6528,0.6524500000000001,0.00034999999999996145
binary_bktf,0,4,20333801,0.581,0.5790000000000001,0.0019999999999998908,0.6522999999999999,0.6518,0.0004999999999998339
binary_bktf,0,5,20333801,0.5815,0.58025,0.0012499999999999734,0.6528499999999999,0.65215,0.0006999999999999229
binary_bktf,0,6,20333801,0.5847500000000001,0.5820000000000001,0.00275000000000003,0.653,0.65315,-0.00014999999999998348
binary_bktf,0,7,20333801,0.58225,0.5792499999999999,0.0030000000000001137,0.6527000000000001,0.6517000000000001,0.0010000000000000009
binary_bktf,0,8,20333801,0.581,0.5802499999999999,0.0007500000000000284,0.65225,0.6522999999999999,-4.999999999988347e-05
binary_bktf,0,9,20333801,0.5805,0.578,0.0025000000000000577,0.6528,0.65215,0.0006500000000000394
binary_bktf,0,10,20333801,0.5825,0.58175,0.0007500000000000284,0.65305,0.65305,0.0
binary_bktf,0,11,20333801,0.5775,0.575,0.0025000000000000577,0.6515000000000001,0.6514,0.00010000000000010001
binary_bktf,0,12,20333801,0.579,0.5765,0.0024999999999999467,0.6517499999999999,0.6513500000000001,0.0003999999999998449
binary_bktf,0,13,20333801,0.58375,0.58125,0.0024999999999999467,0.6530000000000001,0.6526,0.000400000000000178
binary_bktf,0,14,20333801,0.5822499999999999,0.581,0.0012499999999999734,0.6518,0.65155,0.0002500000000000835
binary_bktf,0,15,20333801,0.58675,0.5834999999999999,0.003250000000000086,0.6538499999999999,0.6535,0.00034999999999996145
binary_bktf,0,16,20333801,0.58375,0.583,0.0007500000000000284,0.6528999999999999,0.6527499999999999,0.00014999999999998348
binary_bktf,0,17,20333801,0.58575,0.5827500000000001,0.0029999999999998916,0.6533,0.6526,0.0007000000000000339
binary_bktf,0,18,20333801,0.57975,0.5792499999999999,0.000500000000000056,0.6518,0.652,-0.00019999999999997797
binary_bktf,0,19,20333801,0.578,0.57675,0.0012499999999999734,0.65155,0.65155,0.0
binary_bktf,1,0,20433804,0.5827499999999999,0.5820000000000001,0.0007499999999998064,0.6524500000000001,0.6506000000000001,0.0018500000000000183
binary_bktf,1,1,20433804,0.5835,0.58,0.0035000000000000586,0.6527000000000001,0.65045,0.0022500000000000853
binary_bktf,1,2,20433804,0.5824999999999999,0.57775,0.004749999999999921,0.6519499999999999,0.6496999999999999,0.0022499999999999742
binary_bktf,1,3,20433804,0.584,0.5815,0.0024999999999999467,0.6532499999999999,0.6511000000000001,0.002149999999999763
binary_bktf,1,4,20433804,0.5805,0.5770000000000001,0.0034999999999999476,0.652,0.64925,0.00275000000000003
binary_bktf,1,5,20433804,0.58375,0.5794999999999999,0.004250000000000087,0.6526,0.65,0.0025999999999999357
binary_bktf,1,6,20433804,0.58475,0.58175,0.0030000000000000027,0.65325,0.6507499999999999,0.0025000000000000577
binary_bktf,1,7,20433804,0.587,0.58375,0.003249999999999975,0.6531,0.6507499999999999,0.0023500000000000743
binary_bktf,1,8,20433804,0.591,0.58625,0.004749999999999921,0.6543000000000001,0.65165,0.0026500000000001522
binary_bktf,1,9,20433804,0.58825,0.58375,0.0045000000000000595,0.6539,0.6514,0.0025000000000000577
binary_bktf,1,10,20433804,0.58125,0.5772499999999999,0.004000000000000115,0.6517499999999999,0.649,0.002749999999999919
binary_bktf,1,11,20433804,0.58775,0.58375,0.0040000000000000036,0.6538499999999999,0.6511000000000001,0.002749999999999808
binary_bktf,1,12,20433804,0.58375,0.57975,0.0040000000000000036,0.6518,0.6491499999999999,0.0026500000000001522
binary_bktf,1,13,20433804,0.5842499999999999,0.58,0.004249999999999976,0.6524500000000001,0.6500500000000001,0.0023999999999999577
binary_bktf,1,14,20433804,0.58175,0.5775,0.004249999999999976,0.6524500000000001,0.64985,0.0026000000000000467
binary_bktf,1,15,20433804,0.58325,0.581,0.0022500000000000853,0.6524,0.65065,0.0017500000000000293
binary_bktf,1,16,20433804,0.5852499999999999,0.5820000000000001,0.003249999999999864,0.65315,0.6509,0.0022499999999999742
binary_bktf,1,17,20433804,0.5795,0.578,0.0015000000000000568,0.6522,0.65035,0.0018500000000000183
binary_bktf,1,18,20433804,0.5775,0.5745,0.0030000000000000027,0.6503,0.6483,0.0020000000000000018
binary_bktf,1,19,20433804,0.58275,0.5795,0.003249999999999975,0.6517999999999999,0.6489499999999999,0.002850000000000019
binary_bktf,2,0,20533807,0.5742499999999999,0.57725,-0.0030000000000001137,0.6496000000000001,0.6485,0.001100000000000101
binary_bktf,2,1,20533807,0.57975,0.58225,-0.0025000000000000577,0.65075,0.64995,0.0008000000000000229
binary_bktf,2,2,20533807,0.5785000000000001,0.5815,-0.0029999999999998916,0.65105,0.64995,0.0010999999999999899
binary_bktf,2,3,20533807,0.5765,0.57925,-0.00275000000000003,0.6499000000000001,0.64905,0.0008500000000001284
binary_bktf,2,4,20533807,0.5725,0.5775,-0.0050000000000000044,0.6486500000000001,0.64845,0.000200000000000089
binary_bktf,2,5,20533807,0.5705,0.573,-0.0024999999999999467,0.64805,0.6469499999999999,0.001100000000000101
binary_bktf,2,6,20533807,0.575,0.5772499999999999,-0.0022499999999999742,0.6488499999999999,0.6473500000000001,0.0014999999999998348
binary_bktf,2,7,20533807,0.5745,0.5790000000000001,-0.0045000000000000595,0.6498,0.649,0.0008000000000000229
binary_bktf,2,8,20533807,0.57275,0.57675,-0.0040000000000000036,0.6486,0.64825,0.00034999999999996145
binary_bktf,2,9,20533807,0.5760000000000001,0.581,-0.004999999999999893,0.6498499999999998,0.6494,0.0004499999999998394
binary_bktf,2,10,20533807,0.57775,0.5805,-0.00275000000000003,0.64995,0.64875,0.0011999999999999789
binary_bktf,2,11,20533807,0.5720000000000001,0.5770000000000001,-0.0050000000000000044,0.6486,0.648,0.0005999999999999339
binary_bktf,2,12,20533807,0.57525,0.57975,-0.0044999999999999485,0.6500999999999999,0.64955,0.0005499999999999394
binary_bktf,2,13,20533807,0.57575,0.58,-0.004249999999999976,0.6487999999999999,0.6483000000000001,0.0004999999999998339
binary_bktf,2,14,20533807,0.5725,0.57525,-0.00275000000000003,0.6493000000000001,0.64815,0.0011500000000000954
binary_bktf,2,15,20533807,0.5742499999999999,0.578,-0.003750000000000031,0.64925,0.6486500000000001,0.0005999999999999339
binary_bktf,2,16,20533807,0.5727499999999999,0.5765,-0.003750000000000142,0.6487,0.6478499999999999,0.0008500000000001284
binary_bktf,2,17,20533807,0.57475,0.5784999999999999,-0.00374999999999992,0.6493000000000001,0.6484000000000001,0.0009000000000000119
binary_bktf,2,18,20533807,0.5772499999999999,0.58125,-0.004000000000000115,0.6502500000000001,0.6496500000000001,0.0006000000000000449
binary_bktf,2,19,20533807,0.5740000000000001,0.579,-0.004999999999999893,0.64875,0.6483500000000001,0.00039999999999995595
binary_bktf,3,0,20633810,0.5715,0.57575,-0.004249999999999976,0.6456000000000001,0.6492999999999999,-0.0036999999999998145
binary_bktf,3,1,20633810,0.57575,0.5785,-0.00275000000000003,0.6456000000000001,0.649,-0.0033999999999999586
binary_bktf,3,2,20633810,0.5725,0.57375,-0.0012499999999999734,0.6450499999999999,0.648,-0.002950000000000119
binary_bktf,3,3,20633810,0.57075,0.57325,-0.0025000000000000577,0.6443000000000001,0.6472999999999999,-0.0029999999999997806
binary_bktf,3,4,20633810,0.5660000000000001,0.5715,-0.005499999999999949,0.6438000000000001,0.6476500000000001,-0.003849999999999909
binary_bktf,3,5,20633810,0.5690000000000001,0.5715,-0.0024999999999999467,0.6439500000000001,0.6472,-0.003249999999999864
binary_bktf,3,6,20633810,0.5705,0.5742499999999999,-0.00374999999999992,0.6439,0.6474000000000001,-0.0035000000000000586
binary_bktf,3,7,20633810,0.573,0.57625,-0.003250000000000086,0.64565,0.6489,-0.003250000000000086
binary_bktf,3,8,20633810,0.5705,0.5735,-0.0030000000000000027,0.6445000000000001,0.6479,-0.0033999999999999586
binary_bktf,3,9,20633810,0.5720000000000001,0.57625,-0.004249999999999976,0.64445,0.6476,-0.003149999999999986
binary_bktf,3,10,20633810,0.57075,0.5742499999999999,-0.0034999999999999476,0.6442500000000001,0.6474000000000001,-0.003149999999999986
binary_bktf,3,11,20633810,0.5720000000000001,0.575,-0.0029999999999998916,0.6450999999999999,0.64815,-0.003050000000000108
binary_bktf,3,12,20633810,0.57175,0.57575,-0.0040000000000000036,0.6458499999999999,0.6492,-0.003350000000000075
binary_bktf,3,13,20633810,0.568,0.57175,-0.003750000000000031,0.64315,0.6465000000000001,-0.003350000000000075
binary_bktf,3,14,20633810,0.56725,0.5720000000000001,-0.004750000000000032,0.64425,0.64755,-0.0032999999999999696
binary_bktf,3,15,20633810,0.57075,0.57325,-0.0025000000000000577,0.6449000000000001,0.6478,-0.0028999999999999027
binary_bktf,3,16,20633810,0.5735000000000001,0.575,-0.0014999999999998348,0.6457499999999999,0.6486,-0.002850000000000019
binary_bktf,3,17,20633810,0.5692499999999999,0.57425,-0.0050000000000001155,0.64405,0.6480000000000001,-0.00395000000000012
binary_bktf,3,18,20633810,0.5710000000000001,0.573,-0.0019999999999998908,0.64495,0.6475,-0.002549999999999941
binary_bktf,3,19,20633810,0.5710000000000001,0.5742499999999999,-0.003249999999999864,0.6442500000000001,0.64725,-0.0029999999999998916
binary_bktf,4,0,20733813,0.5820000000000001,0.5720000000000001,0.010000000000000009,0.6502,0.6479500000000001,0.0022499999999998632
binary_bktf,4,1,20733813,0.5795,0.5705,0.009000000000000008,0.65035,0.6481,0.0022499999999999742
