world_model,practice_budget,items_per_day,policy,n_independent_replications,expected_benefit_mean,simulation_interval_low,simulation_interval_high
binary_bktf,50,1,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,50,1,interleaved_median_item,5,-0.0008853982176120989,-0.0022644683083066627,0.0004936718730824647
binary_bktf,50,1,maximum_response_information_gain,5,0.004442274700816229,0.0037967694751523747,0.005087779926480084
binary_bktf,50,1,two_corner_robust_response_information_gain,5,0.004725470262924058,0.0037439103806562214,0.005707030145191895
binary_bktf,50,5,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,50,5,interleaved_median_item,5,5.648263085528127e-05,-0.001139808982203174,0.0012527742439137365
binary_bktf,50,5,maximum_response_information_gain,5,0.004813255973579933,0.003997716192154809,0.0056287957550050565
binary_bktf,50,5,two_corner_robust_response_information_gain,5,0.0041659539047070645,0.003321264874213897,0.0050106429352002315
binary_bktf,50,10,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,50,10,interleaved_median_item,5,0.0001439803151878527,-0.0013969590893171228,0.0016849197196928283
binary_bktf,50,10,maximum_response_information_gain,5,0.0035242301315352,0.001995394481976133,0.005053065781094266
binary_bktf,50,10,two_corner_robust_response_information_gain,5,0.0031247816153315623,0.002227203257180491,0.004022359973482634
binary_bktf,100,1,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,100,1,interleaved_median_item,5,0.00011072554789265387,-0.0010928163930374079,0.0013142674888227156
binary_bktf,100,1,maximum_response_information_gain,5,0.004033233649164835,0.0025528614246415667,0.005513605873688104
binary_bktf,100,1,two_corner_robust_response_information_gain,5,0.003959224562877539,0.002479944491542313,0.005438504634212764
binary_bktf,100,5,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,100,5,interleaved_median_item,5,-1.986031274370248e-05,-0.0022097829271945984,0.0021700623017071935
binary_bktf,100,5,maximum_response_information_gain,5,0.004366186926573157,0.0023943969574318218,0.0063379768957144925
binary_bktf,100,5,two_corner_robust_response_information_gain,5,0.0053251370839079715,0.0025470258961899786,0.008103248271625965
binary_bktf,100,10,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,100,10,interleaved_median_item,5,-0.00023787834057958923,-0.0021766645700095387,0.0017009078888503603
binary_bktf,100,10,maximum_response_information_gain,5,0.0041764895496545825,0.002583526739791641,0.005769452359517524
binary_bktf,100,10,two_corner_robust_response_information_gain,5,0.004340743680711456,0.0032837865716390793,0.005397700789783833
binary_bktf,200,1,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,200,1,interleaved_median_item,5,0.0012778947306414268,-0.0015574680697440478,0.004113257531026902
binary_bktf,200,1,maximum_response_information_gain,5,0.005040371896103879,0.0036746155025773894,0.006406128289630368
binary_bktf,200,1,two_corner_robust_response_information_gain,5,0.0036677152372692977,0.00042547376532613016,0.006909956709212465
binary_bktf,200,5,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,200,5,interleaved_median_item,5,8.56267600354843e-05,-0.0013128453359129502,0.0014840988559839188
binary_bktf,200,5,maximum_response_information_gain,5,0.006429580231478715,0.005468091397336821,0.00739106906562061
binary_bktf,200,5,two_corner_robust_response_information_gain,5,0.004151692403214824,0.0018457355473324396,0.006457649259097208
binary_bktf,200,10,blocked_median_item,5,0.0,0.0,0.0
binary_bktf,200,10,interleaved_median_item,5,-0.00037866626046874076,-0.004088280540762054,0.0033309480198245723
binary_bktf,200,10,maximum_response_information_gain,5,0.008031424115693585,0.0065642241916597475,0.009498624039727423
binary_bktf,200,10,two_corner_robust_response_information_gain,5,0.005743861089171698,0.0036110967655542613,0.007876625412789134
continuous_latent_trait,50,1,blocked_median_item,5,0.0,0.0,0.0
continuous_latent_trait,50,1,interleaved_median_item,5,-3.838608094064444e-05,-5.051171075448042e-05,-2.626045112680846e-05
