world_model,policy,n_independent_replications,delayed_expected_benefit_mean,simulation_interval_low,simulation_interval_high,percentage_point_difference,expected_additional_correct_per_100_items
binary_bktf,balanced_mastery,30,0.0026996144043374987,0.0024013055397570913,0.002997923268917906,0.26996144043374987,0.26996144043374987
binary_bktf,blocked_median_item,30,0.0,0.0,0.0,0.0,0.0
binary_bktf,interleaved_median_item,30,0.0001947830160591931,4.491232710131113e-05,0.00034465370501707504,0.019478301605919308,0.019478301605919308
binary_bktf,latent_state_greedy,30,0.027249432612206977,0.0268714727102871,0.027627392514126853,2.7249432612206976,2.7249432612206976
binary_bktf,least_mastery_target_item,30,0.0008717870341315178,0.0006128938191454099,0.0011306802491176256,0.08717870341315177,0.08717870341315177
binary_bktf,maximum_response_information_gain,30,0.004226990842979842,0.0038975774240673196,0.004556404261892365,0.4226990842979842,0.4226990842979842
binary_bktf,maximum_skill_uncertainty,30,0.0018655605194615769,0.0015094112016368405,0.0022217098372863133,0.18655605194615768,0.18655605194615768
binary_bktf,random_skill_item_bin,30,-0.0001057955687859861,-0.0002551471676591763,4.355603008720413e-05,-0.01057955687859861,-0.01057955687859861
binary_bktf,target_success_070,30,0.0003670315796637643,7.290408590029718e-05,0.0006611590734272314,0.03670315796637643,0.03670315796637643
binary_bktf,two_corner_robust_response_information_gain,30,0.0037986852403335105,0.003442992774173258,0.0041543777064937636,0.37986852403335103,0.37986852403335103
continuous_latent_trait,balanced_mastery,30,-0.0013104716934699242,-0.0013457862429905644,-0.001275157143949284,-0.13104716934699243,-0.13104716934699243
continuous_latent_trait,blocked_median_item,30,0.0,0.0,0.0,0.0,0.0
continuous_latent_trait,interleaved_median_item,30,4.119767457699819e-05,4.0806149742720985e-05,4.158919941127539e-05,0.004119767457699819,0.004119767457699819
continuous_latent_trait,latent_state_greedy,30,0.006072235994925982,0.00604803686379171,0.006096435126060255,0.6072235994925982,0.6072235994925982
continuous_latent_trait,least_mastery_target_item,30,-0.0027834315690643133,-0.0028265181292342406,-0.002740345008894386,-0.27834315690643135,-0.27834315690643135
continuous_latent_trait,maximum_response_information_gain,30,0.0007392472343993466,0.0007155589506244954,0.0007629355181741977,0.07392472343993466,0.07392472343993466
continuous_latent_trait,maximum_skill_uncertainty,30,-0.00017551174859302318,-0.00021428388648257762,-0.00013673961070346873,-0.017551174859302316,-0.017551174859302316
continuous_latent_trait,random_skill_item_bin,30,-0.00028616544290231233,-0.0002990712110690849,-0.0002732596747355398,-0.028616544290231232,-0.028616544290231232
continuous_latent_trait,target_success_070,30,0.0002701115709268861,0.0002305358645446173,0.00030968727730915486,0.027011157092688608,0.027011157092688608
continuous_latent_trait,two_corner_robust_response_information_gain,30,0.0007697862096954333,0.0007337523369043451,0.0008058200824865215,0.07697862096954333,0.07697862096954333
four_state_semimarkov,balanced_mastery,30,-2.5742772622753633e-05,-0.00022543930135833308,0.00017395375611282583,-0.002574277262275363,-0.002574277262275363
four_state_semimarkov,blocked_median_item,30,0.0,0.0,0.0,0.0,0.0
four_state_semimarkov,interleaved_median_item,30,0.00015525627377244167,6.40245184769719e-05,0.00024648802906791144,0.015525627377244167,0.015525627377244167
four_state_semimarkov,latent_state_greedy,30,0.015885742395106293,0.01569781787028773,0.016073666919924855,1.5885742395106293,1.5885742395106293
four_state_semimarkov,least_mastery_target_item,30,-0.001146805152001488,-0.001351832020762463,-0.0009417782832405132,-0.11468051520014881,-0.11468051520014881
four_state_semimarkov,maximum_response_information_gain,30,0.002197337105014907,0.0020008781300552953,0.002393796079974519,0.2197337105014907,0.2197337105014907
four_state_semimarkov,maximum_skill_uncertainty,30,0.00048799378969852645,0.0002643181618576781,0.0007116694175393748,0.04879937896985265,0.04879937896985265
four_state_semimarkov,random_skill_item_bin,30,-0.00024479369738167334,-0.0003648782293155051,-0.0001247091654478416,-0.024479369738167334,-0.024479369738167334
four_state_semimarkov,target_success_070,30,0.00024675252021813716,5.4935019125730095e-05,0.00043857002131054426,0.024675252021813716,0.024675252021813716
four_state_semimarkov,two_corner_robust_response_information_gain,30,0.0023163414131830763,0.002150348475463543,0.0024823343509026096,0.23163414131830762,0.23163414131830762
