analysis_mode,world_model,policy,n_parameter_draws,mc_replicates_per_draw,learners_per_order_mc,orders_averaged_per_mc,mean_over_parameter_draws,parameter_sensitivity_quantile_025,parameter_sensitivity_quantile_975,quantile_025_bootstrap_stability_low,quantile_025_bootstrap_stability_high,quantile_975_bootstrap_stability_low,quantile_975_bootstrap_stability_high,positive_parameter_draw_fraction,between_parameter_draw_sd,median_within_draw_mc_sd,median_within_draw_mc_se,median_mc_se_to_between_draw_sd
frozen_policy,binary_bktf,balanced_mastery,200,3,40,5,0.011638333333333332,0.004829166666666667,0.018685416666666673,0.003997916666666668,0.005739583333333334,0.017833333333333333,0.0204375,1.0,0.00366291912952139,0.004546059988201796,0.002624668957940494,0.7165511618279824
frozen_policy,binary_bktf,blocked_median_item,200,3,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_policy,binary_bktf,interleaved_median_item,200,3,40,5,0.0005804166666666667,-0.005427083333333334,0.006766666666666672,-0.006356249999999999,-0.004502083333333333,0.006014218750000002,0.007591666666666669,0.58,0.003234413484768492,0.0043373378932243705,0.0025041632002194545,0.7742248206705995
frozen_policy,binary_bktf,least_mastery_target_item,200,3,40,5,0.0059225,-0.0011020833333333338,0.014608333333333341,-0.0027666666666666642,-0.0005041666666666684,0.012589583333333336,0.016781250000000008,0.92,0.004172629819998459,0.004380353866983809,0.0025289984842489207,0.6060922232132864
frozen_policy,binary_bktf,maximum_response_information_gain,200,3,40,5,0.014437499999999999,0.008414583333333331,0.020504166666666667,0.006647916666666664,0.00983333333333333,0.019676927083333337,0.022249999999999995,1.0,0.0031974365735850624,0.004130677910464576,0.0023848480035423636,0.7458624897345189
frozen_policy,binary_bktf,maximum_skill_uncertainty,200,3,40,5,0.007877916666666667,0.001833333333333335,0.013752083333333331,0.0010729166666666673,0.0029917187500000013,0.012254166666666665,0.014356250000000006,0.995,0.002925940956134078,0.004109153825382541,0.0023724210672261908,0.8108232882322993
frozen_policy,binary_bktf,target_success_070,200,3,40,5,0.0003920833333333336,-0.0063395833333333325,0.005585416666666667,-0.006770833333333332,-0.005000000000000001,0.005004166666666668,0.006352083333333336,0.55,0.00323799804142988,0.004259792639710686,0.0024593924272289513,0.7595410484383427
frozen_policy,binary_bktf,two_corner_robust_response_information_gain,200,3,40,5,0.014229166666666666,0.008410416666666667,0.02042916666666667,0.007979166666666667,0.009493749999999997,0.01934375,0.02127083333333334,1.0,0.003066289645275114,0.004023369234857769,0.002322893310794392,0.7575583455965319
frozen_policy,continuous_latent_trait,balanced_mastery,200,3,40,5,-0.004630406081583826,-0.0073687543652039165,-0.0018761228789535003,-0.0077316505540361595,-0.006960659233117254,-0.002599065027984431,-0.0016013984486191262,0.0,0.0013910346814936477,0.00034802154346172935,0.0002009303318014185,0.14444667302303782
frozen_policy,continuous_latent_trait,blocked_median_item,200,3,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_policy,continuous_latent_trait,interleaved_median_item,200,3,40,5,0.00017471681738942868,0.00010804627332564923,0.0002384266740074882,9.894963872288248e-05,0.0001263251079200724,0.00022397712731830614,0.00025464040917720925,1.0,3.2963226881752686e-05,4.165158883774108e-06,2.4047556027645424e-06,0.07295267576172079
frozen_policy,continuous_latent_trait,least_mastery_target_item,200,3,40,5,-0.010920159122822924,-0.01631867661148417,-0.006299875644616483,-0.016558862265135685,-0.015108763719682297,-0.0072443874869982,-0.00507726966014573,0.0,0.002544617372549941,0.0004820828906699522,0.0002783306867000098,0.10938017232079841
frozen_policy,continuous_latent_trait,maximum_response_information_gain,200,3,40,5,0.0016911591753189105,-0.00014453805569063393,0.0033522913230614863,-0.0005469961563522728,0.00031713074344090595,0.003110944989386277,0.003515355036462301,0.965,0.000906448951334259,0.00032245096084268114,0.00018616714904297544,0.20538073188671502
frozen_policy,continuous_latent_trait,maximum_skill_uncertainty,200,3,40,5,-0.00037915336298111844,-0.0014128589565779966,0.0007001788368407408,-0.0017786320576933458,-0.0013250461193081435,0.0005646276756281165,0.0008413664529044596,0.275,0.000589323264783727,0.0003301097387976377,0.00019058894655693318,0.32340305897625904
