model,split,sample_class,n_skills,n_events,macro_log_loss,micro_weighted_log_loss,macro_brier,micro_weighted_brier,macro_accuracy_0_5,micro_weighted_accuracy_0_5,macro_auc,micro_weighted_auc,macro_ece_equal_width,micro_weighted_ece_equal_width,macro_calibration_intercept,micro_weighted_calibration_intercept,macro_calibration_slope,micro_weighted_calibration_slope
BKT,test,all,20,569002,0.6365979692431094,0.635403429228529,0.2226433702623617,0.2221050864835672,0.6487548408991869,0.6492384912531063,0.5880338156480893,0.594429770519676,0.0108908335143788,0.0112638245043339,-0.0173393707925806,-0.0213595976548501,1.0165098316509749,1.0258269485524374
BKT-F,test,all,20,569002,0.6356504637971938,0.6344797526768551,0.2222408651469981,0.2217145636317173,0.6487466435914022,0.6491699501934967,0.5920071191949764,0.598031953017336,0.0125801594216715,0.0124898898028157,-0.01185374162292,-0.0174984584006875,1.009506589444662,1.020700858304845
