skill_id,world_model,initial_latent,initial_target,one_step_gain,gain_target,retention_30d,retention_target,mean_learning_probability_after_heterogeneity,target_learning_probability,mean_30d_retention_factor_after_heterogeneity,target_30d_retention_factor,initial_abs_error,gain_abs_error,retention_abs_error
71,binary_bktf,0.354616637657986,0.354616637657986,0.09197052698679757,0.09197052698679754,0.34241433529548276,0.3424143352954862,0.14250526486001786,0.1425052648600178,0.9655901583098537,0.9655901583098635,0.0,2.7755575615628914e-17,3.4416913763379853e-15
71,continuous_latent_trait,0.354616637657986,0.354616637657986,0.09197052698679757,0.09197052698679754,0.34241433529548276,0.3424143352954862,0.14250526486001786,0.1425052648600178,0.9655901583098537,0.9655901583098635,0.0,2.7755575615628914e-17,3.4416913763379853e-15
71,four_state_semimarkov,0.354616637657986,0.354616637657986,0.09197052698679758,0.09197052698679754,0.34241433529548276,0.3424143352954862,0.14250526486001786,0.1425052648600178,0.9655901583098537,0.9655901583098635,0.0,4.163336342344337e-17,3.4416913763379853e-15
74,binary_bktf,0.3077411066344242,0.3077411066344242,0.012189812535266837,0.012189812535266822,0.29820919150913827,0.2982091915091394,0.017608748189572924,0.0176087481895729,0.9690261881828832,0.9690261881828868,0.0,1.5612511283791264e-17,1.1102230246251565e-15
74,continuous_latent_trait,0.3077411066344242,0.3077411066344242,0.012189812535266837,0.012189812535266822,0.29820919150913827,0.2982091915091394,0.017608748189572924,0.0176087481895729,0.9690261881828832,0.9690261881828868,0.0,1.5612511283791264e-17,1.1102230246251565e-15
74,four_state_semimarkov,0.3077411066344242,0.3077411066344242,0.012189812535266837,0.012189812535266822,0.29820919150913827,0.2982091915091394,0.017608748189572924,0.0176087481895729,0.9690261881828832,0.9690261881828868,0.0,1.5612511283791264e-17,1.1102230246251565e-15
76,binary_bktf,0.3730067720165737,0.3730067720165737,0.009774130200818796,0.00977413020081882,0.35400215606750385,0.35400215606763297,0.01558889277361886,0.0155888927736189,0.9490502120207475,0.9490502120210936,0.0,2.42861286636753e-17,1.291189377639057e-13
76,continuous_latent_trait,0.3730067720165737,0.3730067720165737,0.009774130200818796,0.00977413020081882,0.35400215606750385,0.35400215606763297,0.01558889277361886,0.0155888927736189,0.9490502120207475,0.9490502120210936,0.0,2.42861286636753e-17,1.291189377639057e-13
76,four_state_semimarkov,0.3730067720165737,0.3730067720165737,0.009774130200818795,0.00977413020081882,0.35400215606750385,0.35400215606763297,0.01558889277361886,0.0155888927736189,0.9490502120207475,0.9490502120210936,0.0,2.6020852139652106e-17,1.291189377639057e-13
77,binary_bktf,0.3710625315600121,0.3710625315600121,0.009230435471320731,0.009230435471320707,0.355937284111362,0.35593728411137904,0.01467623720083944,0.0146762372008394,0.9592380093321173,0.9592380093321633,0.0,2.42861286636753e-17,1.7041923427996153e-14
77,continuous_latent_trait,0.3710625315600121,0.3710625315600121,0.009230435471320731,0.009230435471320707,0.355937284111362,0.35593728411137904,0.01467623720083944,0.0146762372008394,0.9592380093321173,0.9592380093321633,0.0,2.42861286636753e-17,1.7041923427996153e-14
77,four_state_semimarkov,0.3710625315600121,0.3710625315600121,0.009230435471320733,0.009230435471320707,0.355937284111362,0.35593728411137904,0.01467623720083944,0.0146762372008394,0.9592380093321173,0.9592380093321633,0.0,2.6020852139652106e-17,1.7041923427996153e-14
78,binary_bktf,0.5165337203871039,0.5165337203871039,0.0135237415166809,0.013523741516680876,0.4994870708154358,0.4994870708154392,0.027972460721581553,0.0279724607215815,0.9669979927759743,0.9669979927759809,0.0,2.42861286636753e-17,3.3861802251067274e-15
78,continuous_latent_trait,0.5165337203871039,0.5165337203871039,0.0135237415166809,0.013523741516680876,0.4994870708154358,0.4994870708154392,0.027972460721581553,0.0279724607215815,0.9669979927759743,0.9669979927759809,0.0,2.42861286636753e-17,3.3861802251067274e-15
