world_model,policy,n_independent_replications,delayed_observed_benefit_mean,simulation_interval_low,simulation_interval_high,positive_replication_fraction
binary_bktf,balanced_mastery,30,0.0028311999999999435,0.002429796788690422,0.003232603211309465,1.0
binary_bktf,blocked_median_item,30,0.0,0.0,0.0,0.0
binary_bktf,interleaved_median_item,30,0.00024533333333332706,2.401906526271639e-05,0.00046664760140393776,0.6
binary_bktf,latent_state_greedy,30,0.026928533333333286,0.026439953504203518,0.027417113162463053,1.0
binary_bktf,least_mastery_target_item,30,0.0006877333333332966,0.0003624512895697555,0.0010130153770968376,0.7333333333333333
binary_bktf,maximum_response_information_gain,30,0.004171733333333287,0.0037679123803475195,0.004575554286319054,1.0
binary_bktf,maximum_skill_uncertainty,30,0.0016818666666666138,0.0012851700681895055,0.0020785632651437224,0.9666666666666667
binary_bktf,random_skill_item_bin,30,-6.639999999999642e-05,-0.00031670168832344264,0.00018390168832344982,0.4666666666666667
binary_bktf,target_success_070,30,0.00027359999999996957,-0.00010881005085658265,0.0006560100508565217,0.7
binary_bktf,two_corner_robust_response_information_gain,30,0.00360026666666662,0.003133877943875883,0.004066655389457357,1.0
continuous_latent_trait,balanced_mastery,30,-0.0014722666666666002,-0.0017032500102077582,-0.0012412833231254423,0.0
continuous_latent_trait,blocked_median_item,30,0.0,0.0,0.0,0.0
continuous_latent_trait,interleaved_median_item,30,2.8799999999997783e-05,7.364608015482508e-06,5.0235391984513055e-05,0.6333333333333333
continuous_latent_trait,latent_state_greedy,30,0.005842399999999925,0.0055458190277025855,0.006138980972297264,1.0
continuous_latent_trait,least_mastery_target_item,30,-0.002916266666666607,-0.003164897706161312,-0.0026676356271719023,0.0
continuous_latent_trait,maximum_response_information_gain,30,0.0008397333333332832,0.0006492015770142145,0.001030265089652352,0.9666666666666667
continuous_latent_trait,maximum_skill_uncertainty,30,-0.00021226666666665338,-0.000422745116755324,-1.7882165779827788e-06,0.3333333333333333
continuous_latent_trait,random_skill_item_bin,30,-0.00033386666666661985,-0.00041952325673927517,-0.0002482100765939645,0.06666666666666667
continuous_latent_trait,target_success_070,30,9.70666666666549e-05,-0.00012806521074037222,0.00032219854407368204,0.6333333333333333
continuous_latent_trait,two_corner_robust_response_information_gain,30,0.0008557333333333018,0.0006186414358985026,0.0010928252307681012,0.8666666666666667
four_state_semimarkov,balanced_mastery,30,6.0799999999984856e-05,-0.00028646654972099657,0.00040806654972096624,0.6333333333333333
four_state_semimarkov,blocked_median_item,30,0.0,0.0,0.0,0.0
four_state_semimarkov,interleaved_median_item,30,0.0002031999999999804,-1.6094927776264098e-05,0.0004224949277762249,0.6
four_state_semimarkov,latent_state_greedy,30,0.01594693333333326,0.015563986075953036,0.016329880590713487,1.0
four_state_semimarkov,least_mastery_target_item,30,-0.0010845333333333014,-0.0014000219165138461,-0.0007690447501527567,0.06666666666666667
four_state_semimarkov,maximum_response_information_gain,30,0.0024610666666665935,0.002120445747467157,0.00280168758586603,1.0
four_state_semimarkov,maximum_skill_uncertainty,30,0.0008002666666666391,0.0004221510232920186,0.0011783823100412595,0.8666666666666667
four_state_semimarkov,random_skill_item_bin,30,1.4666666666657717e-05,-0.00017238129926630658,0.000201714632599622,0.5
four_state_semimarkov,target_success_070,30,0.0003023999999999877,-6.570844326944132e-05,0.0006705084432694168,0.6333333333333333
four_state_semimarkov,two_corner_robust_response_information_gain,30,0.0026618666666666036,0.002316585929227765,0.003007147404105442,1.0
