analysis_mode,parameter_draw,world_model,policy,mc_replicate,simulated_benefit_order_averaged,n_orders
frozen_policy,0,four_state_semimarkov,target_success_070,1,0.003083333333333325,5
frozen_policy,0,four_state_semimarkov,target_success_070,2,0.0004166666666666756,5
frozen_policy,0,four_state_semimarkov,two_corner_robust_response_information_gain,0,0.004083333333333329,5
frozen_policy,0,four_state_semimarkov,two_corner_robust_response_information_gain,1,0.011499999999999988,5
frozen_policy,0,four_state_semimarkov,two_corner_robust_response_information_gain,2,0.009666666666666672,5
frozen_policy,1,binary_bktf,balanced_mastery,0,0.005250000000000002,5
frozen_policy,1,binary_bktf,balanced_mastery,1,0.005500000000000004,5
frozen_policy,1,binary_bktf,balanced_mastery,2,0.011,5
frozen_policy,1,binary_bktf,blocked_median_item,0,0.0,5
frozen_policy,1,binary_bktf,blocked_median_item,1,0.0,5
frozen_policy,1,binary_bktf,blocked_median_item,2,0.0,5
frozen_policy,1,binary_bktf,interleaved_median_item,0,-0.005999999999999994,5
frozen_policy,1,binary_bktf,interleaved_median_item,1,-0.0022499999999999964,5
frozen_policy,1,binary_bktf,interleaved_median_item,2,0.005750000000000001,5
frozen_policy,1,binary_bktf,least_mastery_target_item,0,0.004750000000000004,5
frozen_policy,1,binary_bktf,least_mastery_target_item,1,0.0022500000000000024,5
frozen_policy,1,binary_bktf,least_mastery_target_item,2,0.0042499999999999994,5
frozen_policy,1,binary_bktf,maximum_response_information_gain,0,0.009000000000000005,5
frozen_policy,1,binary_bktf,maximum_response_information_gain,1,0.009250000000000001,5
frozen_policy,1,binary_bktf,maximum_response_information_gain,2,0.017249999999999998,5
frozen_policy,1,binary_bktf,maximum_skill_uncertainty,0,0.005250000000000004,5
frozen_policy,1,binary_bktf,maximum_skill_uncertainty,1,0.011250000000000001,5
frozen_policy,1,binary_bktf,maximum_skill_uncertainty,2,0.007999999999999997,5
frozen_policy,1,binary_bktf,target_success_070,0,-0.00275,5
frozen_policy,1,binary_bktf,target_success_070,1,-1.7347234759768072e-19,5
frozen_policy,1,binary_bktf,target_success_070,2,-0.0017499999999999974,5
frozen_policy,1,binary_bktf,two_corner_robust_response_information_gain,0,0.013750000000000002,5
frozen_policy,1,binary_bktf,two_corner_robust_response_information_gain,1,0.013750000000000002,5
frozen_policy,1,binary_bktf,two_corner_robust_response_information_gain,2,0.0165,5
frozen_policy,1,continuous_latent_trait,balanced_mastery,0,-0.006430782834345408,5
frozen_policy,1,continuous_latent_trait,balanced_mastery,1,-0.00599067016466834,5
frozen_policy,1,continuous_latent_trait,balanced_mastery,2,-0.006118099994856732,5
frozen_policy,1,continuous_latent_trait,blocked_median_item,0,0.0,5
frozen_policy,1,continuous_latent_trait,blocked_median_item,1,0.0,5
frozen_policy,1,continuous_latent_trait,blocked_median_item,2,0.0,5
frozen_policy,1,continuous_latent_trait,interleaved_median_item,0,0.00015986912077542326,5
frozen_policy,1,continuous_latent_trait,interleaved_median_item,1,0.000148318288614912,5
frozen_policy,1,continuous_latent_trait,interleaved_median_item,2,0.00015656562102653372,5
frozen_policy,1,continuous_latent_trait,least_mastery_target_item,0,-0.012504842085120472,5
frozen_policy,1,continuous_latent_trait,least_mastery_target_item,1,-0.011962407441275915,5
frozen_policy,1,continuous_latent_trait,least_mastery_target_item,2,-0.011626265688527839,5
frozen_policy,1,continuous_latent_trait,maximum_response_information_gain,0,-0.0002933325604212861,5
frozen_policy,1,continuous_latent_trait,maximum_response_information_gain,1,1.769701906663042e-05,5
frozen_policy,1,continuous_latent_trait,maximum_response_information_gain,2,-0.00044373002377522477,5
frozen_policy,1,continuous_latent_trait,maximum_skill_uncertainty,0,-0.0009308162122171253,5
frozen_policy,1,continuous_latent_trait,maximum_skill_uncertainty,1,-0.0015346989318272075,5
frozen_policy,1,continuous_latent_trait,maximum_skill_uncertainty,2,-0.0007370255510866028,5
frozen_policy,1,continuous_latent_trait,target_success_070,0,-0.0018631178466430303,5
frozen_policy,1,continuous_latent_trait,target_success_070,1,-0.0019470566689371294,5
frozen_policy,1,continuous_latent_trait,target_success_070,2,-0.0009215083008868386,5
frozen_policy,1,continuous_latent_trait,two_corner_robust_response_information_gain,0,-3.765428114845956e-05,5
frozen_policy,1,continuous_latent_trait,two_corner_robust_response_information_gain,1,9.637416568239495e-05,5
frozen_policy,1,continuous_latent_trait,two_corner_robust_response_information_gain,2,0.00017112689254977914,5
frozen_policy,1,four_state_semimarkov,balanced_mastery,0,0.0022499999999999977,5
frozen_policy,1,four_state_semimarkov,balanced_mastery,1,-0.003999999999999994,5
frozen_policy,1,four_state_semimarkov,balanced_mastery,2,-0.0008333333333333346,5
frozen_policy,1,four_state_semimarkov,blocked_median_item,0,0.0,5
frozen_policy,1,four_state_semimarkov,blocked_median_item,1,0.0,5
frozen_policy,1,four_state_semimarkov,blocked_median_item,2,0.0,5
frozen_policy,1,four_state_semimarkov,interleaved_median_item,0,0.00041666666666665905,5
frozen_policy,1,four_state_semimarkov,interleaved_median_item,1,-0.004249999999999994,5
frozen_policy,1,four_state_semimarkov,interleaved_median_item,2,-0.0003333333333333264,5
frozen_policy,1,four_state_semimarkov,least_mastery_target_item,0,-0.004416666666666663,5
frozen_policy,1,four_state_semimarkov,least_mastery_target_item,1,-0.003749999999999995,5
frozen_policy,1,four_state_semimarkov,least_mastery_target_item,2,-0.009249999999999991,5
frozen_policy,1,four_state_semimarkov,maximum_response_information_gain,0,0.005083333333333335,5
frozen_policy,1,four_state_semimarkov,maximum_response_information_gain,1,0.004416666666666672,5
frozen_policy,1,four_state_semimarkov,maximum_response_information_gain,2,0.003750000000000002,5
frozen_policy,1,four_state_semimarkov,maximum_skill_uncertainty,0,0.0006666666666666664,5
frozen_policy,1,four_state_semimarkov,maximum_skill_uncertainty,1,0.0011666666666666735,5
frozen_policy,1,four_state_semimarkov,maximum_skill_uncertainty,2,0.0012500000000000046,5
frozen_policy,1,four_state_semimarkov,target_success_070,0,-0.0004166666666666664,5
frozen_policy,1,four_state_semimarkov,target_success_070,1,-0.004999999999999996,5
frozen_policy,1,four_state_semimarkov,target_success_070,2,-0.0024166666666666594,5
frozen_policy,1,four_state_semimarkov,two_corner_robust_response_information_gain,0,0.005333333333333324,5
frozen_policy,1,four_state_semimarkov,two_corner_robust_response_information_gain,1,-0.0007499999999999983,5
frozen_policy,1,four_state_semimarkov,two_corner_robust_response_information_gain,2,0.0007499999999999987,5
frozen_policy,2,binary_bktf,balanced_mastery,0,0.019749999999999993,5
frozen_policy,2,binary_bktf,balanced_mastery,1,0.026499999999999996,5
frozen_policy,2,binary_bktf,balanced_mastery,2,0.013499999999999998,5
frozen_policy,2,binary_bktf,blocked_median_item,0,0.0,5
frozen_policy,2,binary_bktf,blocked_median_item,1,0.0,5
frozen_policy,2,binary_bktf,blocked_median_item,2,0.0,5
frozen_policy,2,binary_bktf,interleaved_median_item,0,0.0035000000000000005,5
frozen_policy,2,binary_bktf,interleaved_median_item,1,0.008250000000000004,5
frozen_policy,2,binary_bktf,interleaved_median_item,2,-0.0022500000000000003,5
frozen_policy,2,binary_bktf,least_mastery_target_item,0,0.009749999999999998,5
frozen_policy,2,binary_bktf,least_mastery_target_item,1,0.014499999999999999,5
frozen_policy,2,binary_bktf,least_mastery_target_item,2,0.010249999999999999,5
frozen_policy,2,binary_bktf,maximum_response_information_gain,0,0.013749999999999995,5
frozen_policy,2,binary_bktf,maximum_response_information_gain,1,0.018500000000000006,5
frozen_policy,2,binary_bktf,maximum_response_information_gain,2,0.008750000000000003,5
frozen_policy,2,binary_bktf,maximum_skill_uncertainty,0,0.014499999999999996,5
frozen_policy,2,binary_bktf,maximum_skill_uncertainty,1,0.0075000000000000015,5
frozen_policy,2,binary_bktf,maximum_skill_uncertainty,2,0.004500000000000001,5
frozen_policy,2,binary_bktf,target_success_070,0,0.0037499999999999986,5
frozen_policy,2,binary_bktf,target_success_070,1,0.005499999999999998,5
frozen_policy,2,binary_bktf,target_success_070,2,-0.0007500000000000021,5
frozen_policy,2,binary_bktf,two_corner_robust_response_information_gain,0,0.013750000000000002,5
frozen_policy,2,binary_bktf,two_corner_robust_response_information_gain,1,0.01525,5
frozen_policy,2,binary_bktf,two_corner_robust_response_information_gain,2,0.011000000000000003,5
frozen_policy,2,continuous_latent_trait,balanced_mastery,0,-0.001874538727373931,5
frozen_policy,2,continuous_latent_trait,balanced_mastery,1,-0.0016934138091206127,5
frozen_policy,2,continuous_latent_trait,balanced_mastery,2,-0.0015025446130419277,5
frozen_policy,2,continuous_latent_trait,blocked_median_item,0,0.0,5
frozen_policy,2,continuous_latent_trait,blocked_median_item,1,0.0,5
frozen_policy,2,continuous_latent_trait,blocked_median_item,2,0.0,5
frozen_policy,2,continuous_latent_trait,interleaved_median_item,0,0.0001636385399224327,5
frozen_policy,2,continuous_latent_trait,interleaved_median_item,1,0.0001634020413291648,5
frozen_policy,2,continuous_latent_trait,interleaved_median_item,2,0.00016020182821309626,5
frozen_policy,2,continuous_latent_trait,least_mastery_target_item,0,-0.00848448807199714,5
frozen_policy,2,continuous_latent_trait,least_mastery_target_item,1,-0.007740386855744704,5
frozen_policy,2,continuous_latent_trait,least_mastery_target_item,2,-0.007470463737457055,5
frozen_policy,2,continuous_latent_trait,maximum_response_information_gain,0,0.002974355890060656,5
frozen_policy,2,continuous_latent_trait,maximum_response_information_gain,1,0.0020920468048188207,5
frozen_policy,2,continuous_latent_trait,maximum_response_information_gain,2,0.0029393551745394543,5
frozen_policy,2,continuous_latent_trait,maximum_skill_uncertainty,0,0.00025201107858822903,5
frozen_policy,2,continuous_latent_trait,maximum_skill_uncertainty,1,-0.00021562651381510254,5
frozen_policy,2,continuous_latent_trait,maximum_skill_uncertainty,2,-0.0003401849464798512,5
frozen_policy,2,continuous_latent_trait,target_success_070,0,-0.0008708477432746048,5
frozen_policy,2,continuous_latent_trait,target_success_070,1,-0.0004517183038418598,5
frozen_policy,2,continuous_latent_trait,target_success_070,2,-0.00034390260471245826,5
frozen_policy,2,continuous_latent_trait,two_corner_robust_response_information_gain,0,0.0027974307513362723,5
frozen_policy,2,continuous_latent_trait,two_corner_robust_response_information_gain,1,0.002425354539547079,5
frozen_policy,2,continuous_latent_trait,two_corner_robust_response_information_gain,2,0.0028861464793186486,5
frozen_policy,2,four_state_semimarkov,balanced_mastery,0,0.0022500000000000046,5
frozen_policy,2,four_state_semimarkov,balanced_mastery,1,0.005416666666666658,5
frozen_policy,2,four_state_semimarkov,balanced_mastery,2,0.005916666666666661,5
frozen_policy,2,four_state_semimarkov,blocked_median_item,0,0.0,5
frozen_policy,2,four_state_semimarkov,blocked_median_item,1,0.0,5
frozen_policy,2,four_state_semimarkov,blocked_median_item,2,0.0,5
frozen_policy,2,four_state_semimarkov,interleaved_median_item,0,-0.0019999999999999935,5
frozen_policy,2,four_state_semimarkov,interleaved_median_item,1,0.0008333333333333311,5
frozen_policy,2,four_state_semimarkov,interleaved_median_item,2,-0.00216666666666667,5
frozen_policy,2,four_state_semimarkov,least_mastery_target_item,0,-0.0007499999999999903,5
frozen_policy,2,four_state_semimarkov,least_mastery_target_item,1,0.001333333333333336,5
frozen_policy,2,four_state_semimarkov,least_mastery_target_item,2,0.0008333333333333283,5
frozen_policy,2,four_state_semimarkov,maximum_response_information_gain,0,0.0033333333333333396,5
frozen_policy,2,four_state_semimarkov,maximum_response_information_gain,1,0.008166666666666662,5
frozen_policy,2,four_state_semimarkov,maximum_response_information_gain,2,0.0064166666666666625,5
frozen_policy,2,four_state_semimarkov,maximum_skill_uncertainty,0,0.002500000000000005,5
frozen_policy,2,four_state_semimarkov,maximum_skill_uncertainty,1,0.005416666666666665,5
frozen_policy,2,four_state_semimarkov,maximum_skill_uncertainty,2,0.0023333333333333283,5
frozen_policy,2,four_state_semimarkov,target_success_070,0,-0.001249999999999992,5
frozen_policy,2,four_state_semimarkov,target_success_070,1,-0.0005000000000000074,5
frozen_policy,2,four_state_semimarkov,target_success_070,2,-0.0018333333333333413,5
frozen_policy,2,four_state_semimarkov,two_corner_robust_response_information_gain,0,0.0054166666666666695,5
frozen_policy,2,four_state_semimarkov,two_corner_robust_response_information_gain,1,0.007416666666666663,5
frozen_policy,2,four_state_semimarkov,two_corner_robust_response_information_gain,2,0.006999999999999992,5
frozen_policy,3,binary_bktf,balanced_mastery,0,0.0039999999999999975,5
frozen_policy,3,binary_bktf,balanced_mastery,1,0.006,5
frozen_policy,3,binary_bktf,balanced_mastery,2,0.004999999999999999,5
frozen_policy,3,binary_bktf,blocked_median_item,0,0.0,5
frozen_policy,3,binary_bktf,blocked_median_item,1,0.0,5
frozen_policy,3,binary_bktf,blocked_median_item,2,0.0,5
frozen_policy,3,binary_bktf,interleaved_median_item,0,-0.0025000000000000014,5
frozen_policy,3,binary_bktf,interleaved_median_item,1,-0.00024999999999999746,5
frozen_policy,3,binary_bktf,interleaved_median_item,2,0.007250000000000001,5
frozen_policy,3,binary_bktf,least_mastery_target_item,0,-0.0017500000000000022,5
frozen_policy,3,binary_bktf,least_mastery_target_item,1,0.0062499999999999995,5
frozen_policy,3,binary_bktf,least_mastery_target_item,2,-0.0012499999999999987,5
frozen_policy,3,binary_bktf,maximum_response_information_gain,0,0.01625,5
frozen_policy,3,binary_bktf,maximum_response_information_gain,1,0.015250000000000003,5
frozen_policy,3,binary_bktf,maximum_response_information_gain,2,0.011250000000000005,5
frozen_policy,3,binary_bktf,maximum_skill_uncertainty,0,-0.0029999999999999983,5
frozen_policy,3,binary_bktf,maximum_skill_uncertainty,1,0.00425,5
frozen_policy,3,binary_bktf,maximum_skill_uncertainty,2,0.008750000000000003,5
frozen_policy,3,binary_bktf,target_success_070,0,-0.003500000000000001,5
frozen_policy,3,binary_bktf,target_success_070,1,0.0012499999999999976,5
frozen_policy,3,binary_bktf,target_success_070,2,-0.004749999999999999,5
frozen_policy,3,binary_bktf,two_corner_robust_response_information_gain,0,0.011250000000000007,5
frozen_policy,3,binary_bktf,two_corner_robust_response_information_gain,1,0.02425,5
frozen_policy,3,binary_bktf,two_corner_robust_response_information_gain,2,0.01525,5
frozen_policy,3,continuous_latent_trait,balanced_mastery,0,-0.006799955681986697,5
frozen_policy,3,continuous_latent_trait,balanced_mastery,1,-0.006548242349869714,5
frozen_policy,3,continuous_latent_trait,balanced_mastery,2,-0.005788791079643821,5
frozen_policy,3,continuous_latent_trait,blocked_median_item,0,0.0,5
frozen_policy,3,continuous_latent_trait,blocked_median_item,1,0.0,5
