analysis_mode,world_model,policy,n_parameter_draws,stress_scale,grid_role,reference_policy,orders_per_draw,learners_per_order,mean_over_draws,positive_draw_fraction,minimum_draw_mean,maximum_draw_mean
frozen_policy_scale_sensitivity,four_state_semimarkov,two_corner_robust_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0049010416666666,0.9,-0.0016666666666667,0.0102083333333333
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0143125,1.0,0.0071874999999999994,0.02812499999999995
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.016078125,1.0,0.00374999999999995,0.0259375
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0135937499999999,1.0,0.00593750000000005,0.022812499999999902
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0153593749999999,1.0,0.005312499999999901,0.02843749999999995
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0013517746759757,0.75,-0.00241078904000405,0.005294933799681101
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0012146651265114,0.7,-0.0025284390117587,0.0051389214496912
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0017242795795822,0.8,-0.00261717920072955,0.00582802046012355
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0015871700301179,0.75,-0.0027203329580314,0.00567200811013365
frozen_policy_scale_sensitivity,four_state_semimarkov,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0074218749999999,0.95,-0.00302083333333325,0.013645833333333302
frozen_policy_scale_sensitivity,four_state_semimarkov,maximum_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.006890625,1.0,0.0008333333333333,0.01416666666666665
frozen_policy_scale_sensitivity,four_state_semimarkov,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0065885416666666,0.95,-0.0005208333333333499,0.01427083333333335
frozen_policy_scale_sensitivity,four_state_semimarkov,two_corner_robust_response_information_gain,20,2.0,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0060572916666666,0.9,-0.005208333333333251,0.0121874999999999
