analysis_mode,parameter_draw,world_model,policy,simulated_benefit_draw_mean,within_draw_mc_sd,n_mc_replicates,n_orders,within_draw_mc_se
frozen_policy,1,four_state_semimarkov,target_success_070,-0.0026111111111111075,0.0022978452064037268,3,5,0.0013266615484732829
frozen_policy,1,four_state_semimarkov,two_corner_robust_response_information_gain,0.0017777777777777746,0.0031692241134828954,3,5,0.0018297523950416028
frozen_policy,2,binary_bktf,balanced_mastery,0.019916666666666662,0.006501602366596509,3,5,0.0037537018765184025
frozen_policy,2,binary_bktf,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,2,binary_bktf,interleaved_median_item,0.003166666666666668,0.005257930518115787,3,5,0.0030356676000144983
frozen_policy,2,binary_bktf,least_mastery_target_item,0.011499999999999998,0.0026100766272276377,3,5,0.0015069284433354272
frozen_policy,2,binary_bktf,maximum_response_information_gain,0.013666666666666667,0.004875534158770026,3,5,0.00281489095900909
frozen_policy,2,binary_bktf,maximum_skill_uncertainty,0.008833333333333334,0.005131601439446881,3,5,0.002962731472438528
frozen_policy,2,binary_bktf,target_success_070,0.0028333333333333314,0.0032242570203588504,3,5,0.001861525658640723
frozen_policy,2,binary_bktf,two_corner_robust_response_information_gain,0.013333333333333336,0.0021554195260629254,3,5,0.0012444320435890056
frozen_policy,2,continuous_latent_trait,balanced_mastery,-0.0016901657165121573,0.00018601832666059469,3,5,0.00010739773097169809
frozen_policy,2,continuous_latent_trait,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,2,continuous_latent_trait,interleaved_median_item,0.00016241413648823125,1.9195608415279713e-06,3,5,1.1082589685820388e-06
frozen_policy,2,continuous_latent_trait,least_mastery_target_item,-0.007898446221732967,0.0005251651265481391,3,5,0.000303204227181572
frozen_policy,2,continuous_latent_trait,maximum_response_information_gain,0.002668585956472977,0.0004996041508677841,3,5,0.0002884465909917696
frozen_policy,2,continuous_latent_trait,maximum_skill_uncertainty,-0.00010126679390224157,0.0003122221039268674,3,5,0.00018026151574912822
frozen_policy,2,continuous_latent_trait,target_success_070,-0.0005554895506096409,0.000278377708348522,3,5,0.0001607214448514103
frozen_policy,2,continuous_latent_trait,two_corner_robust_response_information_gain,0.0027029772567339996,0.0002444859912582877,3,5,0.0001411540528660649
frozen_policy,2,four_state_semimarkov,balanced_mastery,0.004527777777777775,0.0019883922409081357,3,5,0.0011479987955428754
frozen_policy,2,four_state_semimarkov,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,2,four_state_semimarkov,interleaved_median_item,-0.0011111111111111107,0.0016859989894992778,3,5,0.0009734119704408452
frozen_policy,2,four_state_semimarkov,least_mastery_target_item,0.00047222222222222473,0.0010875984416917667,3,5,0.0006279252530809591
frozen_policy,2,four_state_semimarkov,maximum_response_information_gain,0.005972222222222222,0.002447126054359664,3,5,0.0014128488862254988
frozen_policy,2,four_state_semimarkov,maximum_skill_uncertainty,0.0034166666666666664,0.0017340543372237338,3,5,0.0010011567383855608
frozen_policy,2,four_state_semimarkov,target_success_070,-0.001194444444444447,0.0006684005230842199,3,5,0.00038590122192916105
frozen_policy,2,four_state_semimarkov,two_corner_robust_response_information_gain,0.006611111111111108,0.0010551899951790282,3,5,0.0006092142277628118
frozen_policy,3,binary_bktf,balanced_mastery,0.004999999999999998,0.001000000000000001,3,5,0.0005773502691896264
frozen_policy,3,binary_bktf,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,3,binary_bktf,interleaved_median_item,0.0015000000000000007,0.005105144464165535,3,5,0.0029474565306378993
frozen_policy,3,binary_bktf,least_mastery_target_item,0.0010833333333333328,0.004481443219916251,3,5,0.002587362449376671
frozen_policy,3,binary_bktf,maximum_response_information_gain,0.014250000000000004,0.0026457513110645877,3,5,0.001527525231651945
frozen_policy,3,binary_bktf,maximum_skill_uncertainty,0.0033333333333333353,0.005928392137277471,3,5,0.0034227587963188088
frozen_policy,3,binary_bktf,target_success_070,-0.0023333333333333344,0.003165569985537095,3,5,0.0018276426832884417
frozen_policy,3,binary_bktf,two_corner_robust_response_information_gain,0.016916666666666667,0.006658328118479391,3,5,0.003844187531556931
frozen_policy,3,continuous_latent_trait,balanced_mastery,-0.006378996370500077,0.000526399671739447,3,5,0.0003039169921801004
frozen_policy,3,continuous_latent_trait,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,3,continuous_latent_trait,interleaved_median_item,0.00016538991144776348,1.80205835664474e-06,3,5,1.0404188773042553e-06
frozen_policy,3,continuous_latent_trait,least_mastery_target_item,-0.01347672282736017,0.00014299296351314475,3,5,8.255702597653646e-05
frozen_policy,3,continuous_latent_trait,maximum_response_information_gain,0.002003965625991922,0.00029701495537811826,3,5,0.00017148166444090127
frozen_policy,3,continuous_latent_trait,maximum_skill_uncertainty,-0.0005240609136516365,0.000280331966144708,3,5,0.00016184973611610423
frozen_policy,3,continuous_latent_trait,target_success_070,4.280309282980493e-05,7.874551450593337e-05,3,5,4.546374399747622e-05
frozen_policy,3,continuous_latent_trait,two_corner_robust_response_information_gain,0.0024579135241612976,0.00048083938775854223,3,5,0.00027761274995936923
frozen_policy,3,four_state_semimarkov,balanced_mastery,-0.0014999999999999994,0.001040832999733062,3,5,0.000600925212577329
frozen_policy,3,four_state_semimarkov,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,3,four_state_semimarkov,interleaved_median_item,0.0008333333333333339,0.00038188130791298746,3,5,0.00022047927592204968
frozen_policy,3,four_state_semimarkov,least_mastery_target_item,-0.007888888888888885,0.0018358568490953677,3,5,0.0010599324460188288
frozen_policy,3,four_state_semimarkov,maximum_response_information_gain,0.005999999999999996,0.0013768926368215256,3,5,0.0007949493345141215
frozen_policy,3,four_state_semimarkov,maximum_skill_uncertainty,0.0010000000000000024,0.0007264831572567784,3,5,0.0004194352464039303
frozen_policy,3,four_state_semimarkov,target_success_070,0.0028333333333333357,0.0013768926368215263,3,5,0.0007949493345141219
frozen_policy,3,four_state_semimarkov,two_corner_robust_response_information_gain,0.007166666666666662,0.004282555052509863,3,5,0.0024725343123859615
frozen_policy,4,binary_bktf,balanced_mastery,0.009416666666666663,0.00692068156566485,3,5,0.0039956573649122815
frozen_policy,4,binary_bktf,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,4,binary_bktf,interleaved_median_item,-0.0034999999999999975,0.0017499999999999983,3,5,0.0010103629710818442
