world_model,retention_days,policy,n_independent_replications,latent_benefit_mean,latent_interval_low,latent_interval_high,observed_benefit_mean,observed_interval_low,observed_interval_high
binary_bktf,7.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
binary_bktf,7.0,interleaved_median_item,10,0.0004666666666666559,-0.0016164301708894377,0.0025497635042227495,0.0001288888888888562,-0.0004109688287942135,0.0006687466065719259
binary_bktf,7.0,maximum_response_information_gain,10,0.014499999999999985,0.01142130899402758,0.01757869100597239,0.003971111111111092,0.0024071237730276538,0.00553509844919453
binary_bktf,7.0,two_corner_robust_response_information_gain,10,0.013299999999999998,0.011104917684332744,0.015495082315667251,0.0036488888888888717,0.0027058323742171694,0.004591945403560574
binary_bktf,14.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
binary_bktf,14.0,interleaved_median_item,10,0.0013777777777777926,-7.494381355290327e-05,0.0028304993691084888,0.00033111111111111904,-0.0004466046992897425,0.0011088269215119807
binary_bktf,14.0,maximum_response_information_gain,10,0.015577777777777807,0.012998712291760948,0.018156843263794666,0.004337777777777769,0.0034642784104630038,0.005211277145092535
binary_bktf,14.0,two_corner_robust_response_information_gain,10,0.014622222222222241,0.011889232570721261,0.01735521187372322,0.004093333333333345,0.003026684210943829,0.00515998245572286
binary_bktf,30.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
binary_bktf,30.0,interleaved_median_item,10,0.0004777777777777659,-0.0019196778555261433,0.002875233411081675,-0.0001755555555555362,-0.0009571249623162024,0.0006060138512051299
binary_bktf,30.0,maximum_response_information_gain,10,0.015411111111111115,0.012472694766113271,0.01834952745610896,0.003553333333333293,0.0022303067423749944,0.004876359924291591
binary_bktf,30.0,two_corner_robust_response_information_gain,10,0.017055555555555577,0.014604187198632226,0.019506923912478928,0.003902222222222211,0.003206134289151114,0.004598310155293308
continuous_latent_trait,7.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
continuous_latent_trait,7.0,interleaved_median_item,10,0.0001486399545128044,0.00014523311560882358,0.00015204679341678523,-1.7777777777775818e-05,-7.668902820763528e-05,4.113347265208365e-05
continuous_latent_trait,7.0,maximum_response_information_gain,10,0.0019657899846772723,0.0016947569793596584,0.0022368229899948863,0.000706666666666674,0.00033394357824240406,0.001079389755090944
continuous_latent_trait,7.0,two_corner_robust_response_information_gain,10,0.0022516015473153335,0.0017335542998504513,0.0027696487947802156,0.0007533333333333132,0.0003722183289940874,0.001134448337672539
continuous_latent_trait,14.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
continuous_latent_trait,14.0,interleaved_median_item,10,0.0001479791745333155,0.000145445045431378,0.000150513303635253,4.6666666666672635e-05,-1.207752701488359e-05,0.00010541086034822887
continuous_latent_trait,14.0,maximum_response_information_gain,10,0.001937872632291774,0.001633192801156825,0.002242552463426723,0.0008533333333332986,0.0002875514325458723,0.0014191152341207248
continuous_latent_trait,14.0,two_corner_robust_response_information_gain,10,0.001887381899669719,0.0014342982689549443,0.0023404655303844936,0.0006466666666666324,0.00020026752740659508,0.0010930658059266699
continuous_latent_trait,30.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
continuous_latent_trait,30.0,interleaved_median_item,10,0.0001437673472626614,0.00014104013515346667,0.00014649455937185615,2.2222222222219774e-05,-1.129121722665836e-05,5.573566167109791e-05
continuous_latent_trait,30.0,maximum_response_information_gain,10,0.0016444538535614413,0.001357500935239019,0.0019314067718838636,0.000484444444444454,-0.00010044909156915716,0.001069337980458065
continuous_latent_trait,30.0,two_corner_robust_response_information_gain,10,0.002311217877407442,0.001989434860559545,0.0026330008942553385,0.0005977777777777527,3.70682893074593e-05,0.0011584872662480459
four_state_semimarkov,7.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
four_state_semimarkov,7.0,interleaved_median_item,10,0.00021851851851851053,-0.0014902219062061133,0.0019272589432431343,-0.0001288888888888895,-0.0008641557256278934,0.0006063779478501143
four_state_semimarkov,7.0,maximum_response_information_gain,10,0.007207407407407429,0.005731071611878248,0.00868374320293661,0.002215555555555541,0.0011224303310624442,0.0033086807800486377
four_state_semimarkov,7.0,two_corner_robust_response_information_gain,10,0.006988888888888885,0.004423807497656397,0.009553970280121372,0.002006666666666664,0.0014017490846147044,0.0026115842487186235
four_state_semimarkov,14.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
four_state_semimarkov,14.0,interleaved_median_item,10,0.0010962962962962953,0.00014198022566115436,0.002050612366931436,0.0002177777777778019,-0.000286028543588138,0.0007215840991437418
four_state_semimarkov,14.0,maximum_response_information_gain,10,0.007618518518518509,0.0056772987640116256,0.009559738273025392,0.002382222222222208,0.0016085842346210768,0.003155860209823339
four_state_semimarkov,14.0,two_corner_robust_response_information_gain,10,0.008985185185185193,0.006466122615627005,0.011504247754743381,0.0026311111111111175,0.0020321574061274808,0.003230064816094754
four_state_semimarkov,30.0,blocked_median_item,10,0.0,0.0,0.0,0.0,0.0,0.0
four_state_semimarkov,30.0,interleaved_median_item,10,0.0008851851851852,-0.0010488855873659788,0.0028192559577363786,-2.8888888888870846e-05,-0.000861043516896331,0.0008032657391185893
four_state_semimarkov,30.0,maximum_response_information_gain,10,0.008233333333333318,0.006458911348176322,0.010007755318490314,0.002206666666666668,0.0009940299684152866,0.003419303364918049
four_state_semimarkov,30.0,two_corner_robust_response_information_gain,10,0.007929629629629616,0.006483653737179785,0.009375605522079448,0.002240000000000027,0.0012766183070132423,0.003203381692986812
