factor,variant,value,world_model,policy,mean_simulated_benefit,sd_across_replicates,rank_within_variant_world
sigma_forgetting,sigma_forgetting_0.35,0.35,continuous_latent_trait,random_skill_item_bin,-0.0012359071562946335,0.000262443340610412,7
sigma_forgetting,sigma_forgetting_0.35,0.35,continuous_latent_trait,target_success_070,0.000152044758920745,0.0007057357760474821,4
sigma_forgetting,sigma_forgetting_0.35,0.35,continuous_latent_trait,two_corner_robust_response_information_gain,0.0020994257804188795,0.0002826830871020429,1
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,balanced_mastery,-1.0416666666660857e-05,0.0025271426683385924,6
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,blocked_median_item,0.0,0.0,5
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,interleaved_median_item,0.00017361111111112437,0.0014979961630154914,4
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,least_mastery_target_item,-0.0029444444444444162,0.001221229755779836,9
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,maximum_response_information_gain,0.008576388888888889,0.0018729338998742264,1
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,maximum_skill_uncertainty,0.0030902777777777933,0.002067732593349865,3
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,random_skill_item_bin,-0.001798611111111098,0.002162834930888558,8
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,target_success_070,-0.0011354166666666617,0.0021565411294146657,7
sigma_forgetting,sigma_forgetting_0.35,0.35,four_state_semimarkov,two_corner_robust_response_information_gain,0.007104166666666666,0.0011854822503035865,2
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,balanced_mastery,0.01090625000000003,0.005779932014072608,3
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,blocked_median_item,0.0,0.0,6
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,interleaved_median_item,-0.0008229166666666546,0.002154009504260447,7
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,least_mastery_target_item,0.004135416666666693,0.003570141136999377,5
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,maximum_response_information_gain,0.013281250000000019,0.0024563399908794524,2
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,maximum_skill_uncertainty,0.0070937500000000046,0.0027776165627820524,4
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,random_skill_item_bin,-0.0010833333333333066,0.0016072751268321349,8
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,target_success_070,-0.0013020833333333148,0.003153776238652975,9
sigma_forgetting,sigma_forgetting_0.50,0.5,binary_bktf,two_corner_robust_response_information_gain,0.013510416666666691,0.005193371366539616,1
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,balanced_mastery,-0.0039069157534500675,0.00038119882646573495,8
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,blocked_median_item,0.0,0.0,5
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,interleaved_median_item,0.00021912268823355563,4.5057371132126054e-06,3
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,least_mastery_target_item,-0.009269195950088604,0.0004236900008689713,9
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,maximum_response_information_gain,0.0020280957687290138,0.000276321108880199,2
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,maximum_skill_uncertainty,-0.00043345083466645357,0.000423190565353578,6
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,random_skill_item_bin,-0.0012366614114277252,0.0002601582109093467,7
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,target_success_070,0.00016432676478513966,0.0007063985815585448,4
sigma_forgetting,sigma_forgetting_0.50,0.5,continuous_latent_trait,two_corner_robust_response_information_gain,0.002078913760846702,0.00029349187339117134,1
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,balanced_mastery,-5.20833333333276e-05,0.0026184226196302326,6
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,blocked_median_item,0.0,0.0,4
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,interleaved_median_item,-3.4722222222079304e-06,0.0013448114988250813,5
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,least_mastery_target_item,-0.0030798611111111005,0.001286155892463209,9
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,maximum_response_information_gain,0.008381944444444461,0.0017893811557728285,1
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,maximum_skill_uncertainty,0.0029409722222222315,0.0019190195760223575,3
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,random_skill_item_bin,-0.0018611111111110912,0.0019331303487676106,8
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,target_success_070,-0.001020833333333318,0.00214672087003114,7
sigma_forgetting,sigma_forgetting_0.50,0.5,four_state_semimarkov,two_corner_robust_response_information_gain,0.007177083333333339,0.001001645196487917,2
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,balanced_mastery,-0.004421282175489265,0.0004172486189461411,8
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,blocked_median_item,0.0,0.0,5
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,interleaved_median_item,0.00021966710914915477,3.1636825378569423e-06,3
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,least_mastery_target_item,-0.009841821952720325,0.00040209451558246266,9
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,maximum_response_information_gain,0.00165009892571392,0.0002886283245441756,2
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,maximum_skill_uncertainty,-0.0007010559955076453,0.00043039433430360586,6
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,random_skill_item_bin,-0.0012483678956313887,0.0002513552179792841,7
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,target_success_070,0.00020376238436182564,0.0005833371671450735,4
sigma_theta,sigma_theta_0.50,0.5,continuous_latent_trait,two_corner_robust_response_information_gain,0.0018171764357459521,0.0004014468047723405,1
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,balanced_mastery,-0.0039122686807431155,0.0003862207796718918,8
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,blocked_median_item,0.0,0.0,5
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,interleaved_median_item,0.00021966710914915477,3.163682537864172e-06,3
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,least_mastery_target_item,-0.009277659087062134,0.00043180070004731496,9
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,maximum_response_information_gain,0.002046399772400296,0.00028111279761447764,2
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,maximum_skill_uncertainty,-0.0004333165274964986,0.0004287229333111806,6
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,random_skill_item_bin,-0.0012359071562946335,0.000262443340610412,7
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,target_success_070,0.000152044758920745,0.0007057357760474821,4
sigma_theta,sigma_theta_0.70,0.7,continuous_latent_trait,two_corner_robust_response_information_gain,0.0020994257804188795,0.0002826830871020429,1
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,balanced_mastery,-0.003160434031097841,0.0004659630295197702,8
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,blocked_median_item,0.0,0.0,5
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,interleaved_median_item,0.00021966710914916401,3.1636825378329603e-06,3
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,least_mastery_target_item,-0.008825467535145645,0.0002924112037716024,9
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,maximum_response_information_gain,0.002615027288268646,0.00023997569746151575,1
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,maximum_skill_uncertainty,-0.0002660313482786327,0.0005283027494301669,6
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,random_skill_item_bin,-0.0012248216538589078,0.00027364926779240137,7
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,target_success_070,0.00018489395412482157,0.0009654283817436043,4
sigma_theta,sigma_theta_0.90,0.9,continuous_latent_trait,two_corner_robust_response_information_gain,0.0025816684740229364,0.00041405670481887914,2
