skill_id,model,optimizer_success,optimizer_status,optimizer_message,n_train_events,n_train_sequences,nll_train,log_loss_train_objective,n_parameters,aic_train,bic_train,n_iterations,n_function_evaluations,gradient_inf_norm,hessian_status,p_init,p_learn,slip,guess,lambda_per_day,retention_half_life_days,se_p_init_approx,se_p_learn_approx,se_slip_approx,se_guess_approx,se_lambda_per_day_approx
71,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56461,5500,34825.92979851879,0.6168139033761143,4,69659.85959703758,69695.62481869079,19,23,4.241164117296505e-05,positive_definite,0.37370248458071736,0.14886491579040026,0.25169618149342904,0.4399926164249139,0.0,inf,0.02791341773193343,0.017634909383274253,0.004159161207168665,0.016116004160018804,nan
71,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56461,5500,34788.71677014277,0.6161548107568546,5,69587.43354028554,69632.14006735205,28,42,1.397861724954469e-05,positive_definite,0.34902173457358965,0.1469635601962093,0.23920026980159007,0.44675341981509975,0.001207921449665223,573.8346485626627,0.02683651919864754,0.012619526277096695,0.003985837441531562,0.012989856724618285,0.00023425342669028623
74,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59695,5500,38955.41054144617,0.652574094001946,4,77918.82108289233,77954.80909706745,39,74,0.005937059154891165,positive_definite,0.32464921939279007,0.013933100564678638,0.2764904771704608,0.4899395366577667,0.0,inf,0.016633589647076386,0.0020217220823464774,0.004615681026137865,0.0007956496026503862,nan
74,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59695,5500,38882.50395267448,0.6513527758216682,5,77775.00790534896,77819.99292306785,74,126,0.0003870971179828232,positive_definite,0.30170845523437584,0.017468307486727595,0.2626470671207628,0.4877774069257725,0.0009792489077791457,707.83554115158,0.02368774440291078,0.002073344251857768,0.004874706979975582,0.006889728564495308,0.00023798673424235367
76,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93574,5500,61101.299699545714,0.6529730448580344,4,122210.59939909143,122248.38543047583,25,55,0.05851740471455275,positive_definite,0.39429155454086057,0.010160480491650444,0.2820322262518991,0.4899395366577667,0.0,inf,0.01445137564783712,0.0011029363111122843,0.0028781475164774252,0.0002497124695064358,nan
76,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93574,5500,61037.9705868758,0.65229626377921,5,122085.9411737516,122133.17371298211,36,69,0.039247739429992205,positive_definite,0.3715250259971495,0.015480364598083584,0.26870315693897245,0.4899395366577667,0.002187890414715415,316.81073965036995,0.014822761421173752,0.0014469206355587935,0.003134149690769315,0.0003046561412543825,0.0003538842328757301
77,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99632,5500,63720.58637490226,0.6395594424974131,4,127449.17274980452,127487.20970451298,35,80,0.027803360523434035,positive_definite,0.39034986796803384,0.01019168432106747,0.2600833351139334,0.4899395366577667,0.0,inf,0.013450610686124099,0.0010671845372099522,0.0025779394170099513,0.00036200917233360485,nan
77,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99632,5500,63651.53918877796,0.6388664203145371,5,127313.07837755592,127360.62457094148,51,92,0.005325312110481848,positive_definite,0.3697298317129197,0.014562422138232545,0.2500391178961155,0.4899395366577667,0.0015784040642202505,439.144320692286,0.01395824027803417,0.0013441891173872418,0.0028334770947585435,0.0008195515897441828,0.0002748190736544885
78,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63706,5500,40982.37202775726,0.6433047441019254,4,81972.74405551451,82008.9921916291,45,96,5.264095528041092e-05,positive_definite,0.5429923138399705,0.019460980608633383,0.28232596424935275,0.46027564498993173,0.0,inf,0.024582173416593772,0.002627457487005369,0.003934986592725593,0.0087733362143819,nan
78,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63706,5500,40927.13567781137,0.642437693118566,5,81864.27135562274,81909.58152576597,53,109,4.2411402403259e-06,positive_definite,0.516030669118876,0.02808962230960467,0.2686566015140282,0.45676844384461107,0.0011218786738955667,617.8450457152276,0.024528050962351538,0.0031852758986577233,0.0042537118314664195,0.008714177192187337,0.00020351441995105428
